date,year,month,period,indicator,value,unit
2003-12-01,2003,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),3212.7,386 миллиард рублей
2004-01-01,2004,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),3214.1,386 миллиард рублей
2004-02-01,2004,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),3335.5,386 миллиард рублей
2004-03-01,2004,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),3421.2,386 миллиард рублей
2004-04-01,2004,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),3483.5,386 миллиард рублей
2004-05-01,2004,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),3526.5,386 миллиард рублей
2004-06-01,2004,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),3687.2,386 миллиард рублей
2004-07-01,2004,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),3634.9,386 миллиард рублей
2004-08-01,2004,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),3657.9,386 миллиард рублей
2004-09-01,2004,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),3727.5,386 миллиард рублей
2004-10-01,2004,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),3798.1,386 миллиард рублей
2004-11-01,2004,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),3939.9,386 миллиард рублей
2004-12-01,2004,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),4363.3,386 миллиард рублей
2005-01-01,2005,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),4190.3,386 миллиард рублей
2005-02-01,2005,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),4311.4,386 миллиард рублей
2005-03-01,2005,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),4474.6,386 миллиард рублей
2005-04-01,2005,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),4586.8,386 миллиард рублей
2005-05-01,2005,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),4688.6,386 миллиард рублей
2005-06-01,2005,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),4927.4,386 миллиард рублей
2005-07-01,2005,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),4985.8,386 миллиард рублей
2005-08-01,2005,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),5136.0,386 миллиард рублей
2005-09-01,2005,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),5292.8,386 миллиард рублей
2005-10-01,2005,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),5314.0,386 миллиард рублей
2005-11-01,2005,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),5436.1,386 миллиард рублей
2005-12-01,2005,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),6045.6,386 миллиард рублей
2006-01-01,2006,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),5842.9,386 миллиард рублей
2006-02-01,2006,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),5919.6,386 миллиард рублей
2006-03-01,2006,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),6169.4,386 миллиард рублей
2006-04-01,2006,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),6360.1,386 миллиард рублей
2006-05-01,2006,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),6693.1,386 миллиард рублей
2006-06-01,2006,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),7092.3,386 миллиард рублей
2006-07-01,2006,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),7230.7,386 миллиард рублей
2006-08-01,2006,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),7449.3,386 миллиард рублей
2006-09-01,2006,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),7757.5,386 миллиард рублей
2006-10-01,2006,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),7769.6,386 миллиард рублей
2006-11-01,2006,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),8014.1,386 миллиард рублей
2006-12-01,2006,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),8995.8,386 миллиард рублей
2007-01-01,2007,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),8700.8,386 миллиард рублей
2007-02-01,2007,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),8902.0,386 миллиард рублей
2007-03-01,2007,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),9412.6,386 миллиард рублей
2007-04-01,2007,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),10006.0,386 миллиард рублей
2007-05-01,2007,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),10699.3,386 миллиард рублей
2007-06-01,2007,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),10857.7,386 миллиард рублей
2007-07-01,2007,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),10923.5,386 миллиард рублей
