BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2017-03-31,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.47,427.67,428.2,427.46,9779431674.0,1707.0,8.15,2,3271738517619.82,RUB,,3,,2017-03-31,
SNDX,RGBITR,2017-04-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.5,427.75,428.28,427.48,3888391773.0,1702.0,8.16,2,3271954722277.27,RUB,,3,,2017-04-03,
SNDX,RGBITR,2017-04-04,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.21,427.54,427.61,427.03,7630545541.0,1701.0,8.19,2,3269737099482.86,RUB,,3,,2017-04-04,
SNDX,RGBITR,2017-04-05,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.42,427.44,428.58,427.44,22731485219.0,1713.0,8.12,2,3268378739007.84,RUB,,3,,2017-04-05,
SNDX,RGBITR,2017-04-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.89,428.51,428.93,428.1,13824602981.0,1713.0,8.11,2,3271947200077.1,RUB,,3,,2017-04-06,
SNDX,RGBITR,2017-04-07,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.3,429.09,429.14,427.51,13148984966.0,1710.0,8.15,2,3267410166538.7,RUB,,3,,2017-04-07,
SNDX,RGBITR,2017-04-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.29,428.65,428.82,427.26,6765540874.0,1704.0,8.21,2,3259725003583.76,RUB,,3,,2017-04-10,
SNDX,RGBITR,2017-04-11,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.28,427.47,427.88,427.21,15342760324.0,1702.0,8.21,2,3259619186436.2,RUB,,3,,2017-04-11,
SNDX,RGBITR,2017-04-12,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,426.64,427.53,427.53,426.64,7823487466.0,1700.0,8.25,2,3254728932640.97,RUB,,3,,2017-04-12,
SNDX,RGBITR,2017-04-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.15,426.83,427.36,426.83,22750381254.0,1700.0,8.23,2,3258611494339.87,RUB,,3,,2017-04-13,
SNDX,RGBITR,2017-04-14,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.96,427.27,428.3,427.27,6688648405.0,1701.0,8.19,2,3264796789606.58,RUB,,3,,2017-04-14,
SNDX,RGBITR,2017-04-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.42,428.27,428.42,427.89,5558636834.0,1698.0,8.18,2,3268319305816.55,RUB,,3,,2017-04-17,
SNDX,RGBITR,2017-04-18,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.29,428.59,428.76,428.18,9592298414.0,1697.0,8.19,2,3267319553407.72,RUB,,3,,2017-04-18,
SNDX,RGBITR,2017-04-19,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,428.44,427.73,428.45,427.24,17228459390.0,1699.0,8.14,2,3268494956601.41,RUB,,3,,2017-04-19,
