BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2016-02-22,CNYRUB_TOM,CNYRUB_TOM,11.7,11.49,11.711,11.49,213,11.6726
CETS,2016-02-24,CNYRUB_TOM,CNYRUB_TOM,11.71,11.6,11.8799,11.6,282,11.7199
CETS,2016-02-25,CNYRUB_TOM,CNYRUB_TOM,11.6669,11.52,11.725,11.555,310,11.6657
CETS,2016-02-26,CNYRUB_TOM,CNYRUB_TOM,11.5568,11.4,11.565,11.547,291,11.463
CETS,2016-02-29,CNYRUB_TOM,CNYRUB_TOM,11.5409,11.45,11.64,11.498,289,11.5973
CETS,2016-03-01,CNYRUB_TOM,CNYRUB_TOM,11.3301,11.1829,11.3301,11.2309,286,11.297
CETS,2016-03-02,CNYRUB_TOM,CNYRUB_TOM,11.185,11.18,11.32,11.2009,279,11.2321
CETS,2016-03-03,CNYRUB_TOM,CNYRUB_TOM,11.216,11.1841,11.3219,11.1841,305,11.2942
CETS,2016-03-04,CNYRUB_TOM,CNYRUB_TOM,11.2019,11.0619,11.2719,11.0771,283,11.2325
CETS,2016-03-07,CNYRUB_TOM,CNYRUB_TOM,11.0201,10.9691,11.0918,10.9961,231,11.065
CETS,2016-03-09,CNYRUB_TOM,CNYRUB_TOM,11.071,10.882,11.152,10.9141,321,11.1234
CETS,2016-03-10,CNYRUB_TOM,CNYRUB_TOM,10.92,10.74,11.032,10.996,345,10.8712
CETS,2016-03-11,CNYRUB_TOM,CNYRUB_TOM,10.895,10.7111,10.895,10.82,317,10.8282
CETS,2016-03-14,CNYRUB_TOM,CNYRUB_TOM,10.8,10.7431,10.922,10.772,425,10.8184
CETS,2016-03-15,CNYRUB_TOM,CNYRUB_TOM,10.83,10.815,10.963,10.94,398,10.8841
CETS,2016-03-16,CNYRUB_TOM,CNYRUB_TOM,10.862,10.6733,10.9279,10.6749,311,10.9076
CETS,2017-01-03,CNYRUB_TOM,CNYRUB_TOM,8.7745,8.5,8.824,8.7734,62,8.6851
CETS,2017-01-04,CNYRUB_TOM,CNYRUB_TOM,8.7763,8.653,8.846,8.777,40,8.7699
CETS,2017-01-05,CNYRUB_TOM,CNYRUB_TOM,8.7293,8.6001,8.75,8.62,12,8.7013
CETS,2017-01-06,CNYRUB_TOM,CNYRUB_TOM,8.62,8.62,8.7299,8.62,3,8.6728
CETS,2017-01-09,CNYRUB_TOM,CNYRUB_TOM,8.7119,8.689,8.745,8.719,95,8.7064
CETS,2017-01-10,CNYRUB_TOM,CNYRUB_TOM,8.7478,8.682,8.7501,8.7077,170,8.7047
CETS,2017-01-11,CNYRUB_TOM,CNYRUB_TOM,8.7319,8.693,8.764,8.697,186,8.7087
CETS,2017-01-12,CNYRUB_TOM,CNYRUB_TOM,8.65,8.62,8.67,8.6409,159,8.6424
CETS,2017-01-13,CNYRUB_TOM,CNYRUB_TOM,8.686,8.6649,8.7071,8.7071,156,8.6731
CETS,2017-01-16,CNYRUB_TOM,CNYRUB_TOM,8.695,8.67,8.7331,8.72,123,8.6858
CETS,2017-01-17,CNYRUB_TOM,CNYRUB_TOM,8.72,8.68,8.7305,8.7235,61,8.6966
CETS,2017-01-18,CNYRUB_TOM,CNYRUB_TOM,8.71,8.67,8.72,8.684,91,8.687
CETS,2017-01-19,CNYRUB_TOM,CNYRUB_TOM,8.6685,8.651,8.8,8.743,88,8.708
CETS,2017-01-20,CNYRUB_TOM,CNYRUB_TOM,8.7279,8.6971,8.751,8.751,114,8.7189
CETS,2017-01-23,CNYRUB_TOM,CNYRUB_TOM,8.74,8.684,8.743,8.734,73,8.7112
CETS,2017-01-24,CNYRUB_TOM,CNYRUB_TOM,8.7,8.676,8.713,8.7074,91,8.6887
CETS,2017-01-25,CNYRUB_TOM,CNYRUB_TOM,8.6537,8.65,8.705,8.705,53,8.6668
CETS,2017-01-26,CNYRUB_TOM,CNYRUB_TOM,8.7227,8.7108,8.8229,8.8048,50,8.7482
CETS,2017-01-27,CNYRUB_TOM,CNYRUB_TOM,8.821,8.7,8.821,8.714,42,8.7661
CETS,2017-01-30,CNYRUB_TOM,CNYRUB_TOM,8.73,8.725,8.778,8.742,45,8.7545
CETS,2017-01-31,CNYRUB_TOM,CNYRUB_TOM,8.7619,8.7528,8.814,8.814,44,8.774
CETS,2017-02-01,CNYRUB_TOM,CNYRUB_TOM,8.812,8.8,8.8355,8.8,113,8.8237
CETS,2017-02-02,CNYRUB_TOM,CNYRUB_TOM,8.809,8.621,8.8129,8.658,101,8.7716
CETS,2017-02-03,CNYRUB_TOM,CNYRUB_TOM,8.7299,8.65,8.7325,8.679,147,8.7039
CETS,2017-02-06,CNYRUB_TOM,CNYRUB_TOM,8.6266,8.6039,8.6777,8.65,125,8.6205
CETS,2017-02-07,CNYRUB_TOM,CNYRUB_TOM,8.6699,8.6508,8.7025,8.679,122,8.6682
CETS,2017-02-08,CNYRUB_TOM,CNYRUB_TOM,8.6882,8.6491,8.7,8.6491,98,8.6835
CETS,2017-02-09,CNYRUB_TOM,CNYRUB_TOM,8.6133,8.58,8.6233,8.5939,110,8.611
CETS,2017-02-10,CNYRUB_TOM,CNYRUB_TOM,8.5742,8.4968,8.58,8.4968,101,8.5653
CETS,2017-02-13,CNYRUB_TOM,CNYRUB_TOM,8.455,8.4195,8.4689,8.45,78,8.4388
CETS,2017-02-14,CNYRUB_TOM,CNYRUB_TOM,8.4402,8.3345,8.4402,8.3345,181,8.3951
CETS,2017-02-15,CNYRUB_TOM,CNYRUB_TOM,8.3072,8.2506,8.4798,8.3815,95,8.3018
CETS,2017-02-16,CNYRUB_TOM,CNYRUB_TOM,8.3445,8.3299,8.4172,8.41,97,8.3491
CETS,2017-02-17,CNYRUB_TOM,CNYRUB_TOM,8.4066,8.3837,8.535,8.535,155,8.4252
CETS,2017-02-20,CNYRUB_TOM,CNYRUB_TOM,8.4949,8.4515,8.4998,8.46,110,8.4775
CETS,2017-02-21,CNYRUB_TOM,CNYRUB_TOM,8.426,8.378,8.4526,8.378,83,8.4193
CETS,2017-02-22,CNYRUB_TOM,CNYRUB_TOM,8.359,8.3464,8.4747,8.4492,159,8.3925
CETS,2017-02-24,CNYRUB_TOM,CNYRUB_TOM,8.4461,8.4428,8.5426,8.5263,14,8.4863
CETS,2017-02-27,CNYRUB_TOM,CNYRUB_TOM,8.4612,8.407,8.4652,8.4603,137,8.4359
CETS,2017-02-28,CNYRUB_TOM,CNYRUB_TOM,8.4619,8.436,8.5337,8.528,122,8.4629
CETS,2017-03-01,CNYRUB_TOM,CNYRUB_TOM,8.4953,8.4384,8.5127,8.4773,197,8.4761
CETS,2017-03-02,CNYRUB_TOM,CNYRUB_TOM,8.4918,8.4789,8.5499,8.545,172,8.506
CETS,2017-03-03,CNYRUB_TOM,CNYRUB_TOM,8.5437,8.45,8.5581,8.4513,142,8.5173
CETS,2017-03-06,CNYRUB_TOM,CNYRUB_TOM,8.4623,8.4098,8.4776,8.435,107,8.4492
CETS,2017-03-07,CNYRUB_TOM,CNYRUB_TOM,8.4428,8.3985,8.4649,8.4294,69,8.4268
CETS,2017-03-09,CNYRUB_TOM,CNYRUB_TOM,8.5066,8.4997,8.6133,8.5924,229,8.537
CETS,2017-03-10,CNYRUB_TOM,CNYRUB_TOM,8.5659,8.5138,8.5832,8.5726,289,8.5602
CETS,2017-03-13,CNYRUB_TOM,CNYRUB_TOM,8.582,8.53,8.5917,8.5344,94,8.5701
